P1,3.048652995577
P2,3.1491885143570655
P3,6.670731707317073
P4,2.627643504531722
P5,2.4594739667203407
P6,1.2132352941176459
P7,12.984917043740557
P8,1.221986567691765
P9,2.7221006564551398
P10,2.8538302277432726
P11,1.8768699654775585
P12,4.257383966244727
P13,3.0333699231613593
P14,3.219313820951942
P15,4.232920495405511
P16,2.2341506797103268
P18,1.675447839831402
P19,1.0029244041526546
P20,6.177177177177157
P21,2.528469000421769
P22,0.7367149758454113
P23,1.151285930408474
P24,0.918052256532066
P25,3.4550063371356146
