gene,time,total_sites_low,no_silent_sites_low,no_replacement_sites_low,rl/sl,no_of_noneutral_sites
PRD1,1.0,1560.7760000000026,848.5265324003906,712.2494675996119,0.8393956351426448,712.2494675996119
PRD1,2.0,1560.7780000000005,848.5366482272668,712.2413517727337,0.839376063792558,712.2413517727337
PRD1,3.0,1560.7699999999995,848.4961836851004,712.2738163148991,0.8394543546694878,712.2738163148991
PRD1,4.0,1560.78799999999,848.5872242755927,712.2007757243972,0.8392782207301983,712.2007757243972




